"URL","str1","Date","str2","Response body","Status","Content type","startTime","startDate","connectionState","interval","executionTime","minValue","endDate","endTime","dataFreshness","maxValue","id","startDate (#1)","hasChildren","level","area","dwell","name","value","id (#1)","index","maxDate","name (#1)","maxTime","maxValue (#1)"
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2017-01-04",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2017-01-04,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2017-01-04","all","daily",93,21987,"2017-01-04","23:59","2017-01-05T19:22:02.342+04:00",21987,56,"2017-01-04",true,"SUPERZONE","System Campus","5-1440",,21987,56,0,"2017-01-04","System Campus","00:00",21987
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2017-01-03",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2017-01-03,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2017-01-03","all","daily",111,23268,"2017-01-03","23:59","2017-01-05T19:22:02.342+04:00",23268,56,"2017-01-03",true,"SUPERZONE","System Campus","5-1440",,23268,56,0,"2017-01-03","System Campus","00:00",23268
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2017-01-02",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2017-01-02,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2017-01-02","all","daily",93,22631,"2017-01-02","23:59","2017-01-05T19:22:02.342+04:00",22631,56,"2017-01-02",true,"SUPERZONE","System Campus","5-1440",,22631,56,0,"2017-01-02","System Campus","00:00",22631
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2017-01-01",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2017-01-01,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2017-01-01","all","daily",91,28383,"2017-01-01","23:59","2017-01-05T19:22:02.342+04:00",28383,56,"2017-01-01",true,"SUPERZONE","System Campus","5-1440",,28383,56,0,"2017-01-01","System Campus","00:00",28383
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-12-31",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-12-31,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-12-31","all","daily",98,24424,"2016-12-31","23:59","2017-01-05T19:22:02.342+04:00",24424,56,"2016-12-31",true,"SUPERZONE","System Campus","5-1440",,24424,56,0,"2016-12-31","System Campus","00:00",24424
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-12-30",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-12-30,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-12-30","all","daily",102,28868,"2016-12-30","23:59","2017-01-05T19:22:02.342+04:00",28868,56,"2016-12-30",true,"SUPERZONE","System Campus","5-1440",,28868,56,0,"2016-12-30","System Campus","00:00",28868
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-12-29",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-12-29,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-12-29","all","daily",103,26781,"2016-12-29","23:59","2017-01-05T19:22:02.342+04:00",26781,56,"2016-12-29",true,"SUPERZONE","System Campus","5-1440",,26781,56,0,"2016-12-29","System Campus","00:00",26781
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-12-28",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-12-28,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-12-28","all","daily",92,24781,"2016-12-28","23:59","2017-01-05T19:22:02.342+04:00",24781,56,"2016-12-28",true,"SUPERZONE","System Campus","5-1440",,24781,56,0,"2016-12-28","System Campus","00:00",24781
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-12-27",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-12-27,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-12-27","all","daily",130,25184,"2016-12-27","23:59","2017-01-05T19:22:02.342+04:00",25184,56,"2016-12-27",true,"SUPERZONE","System Campus","5-1440",,25184,56,0,"2016-12-27","System Campus","00:00",25184
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-12-26",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-12-26,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-12-26","all","daily",98,24536,"2016-12-26","23:59","2017-01-05T19:22:02.342+04:00",24536,56,"2016-12-26",true,"SUPERZONE","System Campus","5-1440",,24536,56,0,"2016-12-26","System Campus","00:00",24536
